,Unnamed: 0,ID,Dirección Normalizada,COMUNA,XY (CABA),Longitud,Latitud,SEMESTRE
500,500,20190067,"CASTRO, EMILIO 4706",10,Point (97458.87181153 98502.45008355),-58.49101637,-34.64276621,2
501,501,20190068,27 DE FEBRERO AV. 5600,8,Point (103516.29283702 96305.80102228),-58.42493829,-34.66256502,2
502,502,20190069,"GARAY, JUAN DE AV. 2874",4,Point (105355.77079994 99994.97457130),-58.40489318,-34.62930162,2
503,503,20190070,"SCALABRINI ORTIZ, RAUL AV. y GORRITI",14,Point (103342.29763549 104114.07863350),-58.4268668,-34.59217875,2
504,504,20190071,PRIMERA JUNTA y OLIVERA AV.,9,Point (98504.80160700 97011.97752137),-58.479611,-34.65620398,2
505,505,20190072,"ALBERDI, JUAN BAUTISTA AV. y AZUL",10,Point (98982.27543524 99337.43508034),-58.47439934,-34.63524207,2
506,506,20190073,ALVAREZ THOMAS AV. 1788,15,Point (99649.53744486 105547.74929043),-58.46711912,-34.57926018,2
507,507,20190074,"LUGONES, LEOPOLDO AV. y PAZ, GRAL. AV.",13,Point (99830.29053639 110496.05308488),-58.46514781,-34.53465378,2
508,508,20190075,SAN ANTONIO y LUJAN,4,Point (108029.19662631 97048.95529785),-58.37571078,-34.65584079,2
509,509,20190076,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y DON PEDRO DE MENDOZA AV.,4,Point (108408.31866027 97219.56223456),-58.37157668,-34.65429986,2
510,510,20190077,"FIGUEROA ALCORTA, PRES. AV. y TAGLE",14,Point (105980.99138544 105385.93253091),-58.39811256,-34.58070186,2
511,511,20190078,"EINSTEIN, ALBERTO y ALCORTA, AMANCIO AV.",4,Point (104770.59856807 97235.72066953),-58.41125934,-34.6541774,2
512,512,20190079,AGRELO y COLOMBRES,5,Point (104133.42235616 101175.18161468),-58.41822901,-34.61866836,2
513,513,20190080,"CABILDO AV. y PAZ, GRAL. AV.",13,Point (98817.74986778 110096.31367495),-58.47617802,-34.53825652,2
514,514,20190081,ELCANO AV. 4300,15,Point (100173.09831701 104773.73030321),-58.46141281,-34.58623761,2
515,515,20190082,"RABANAL, FRANCISCO, INTENDENTE AV. 2428",8,Point (103065.99442998 96457.67469916),-58.42985146,-34.6611974,2
516,516,20190083,MONTE y CORVALAN,9,Point (98049.89254647 96769.28504384),-58.48457413,-34.6583909,2
517,517,20190084,TANDIL y LAFUENTE,7,Point (99777.28948169 99222.14556838),-58.46572884,-34.63628186,2
518,518,20190085,CARDOSO y BACACAY,10,Point (97311.79828581 99453.65686299),-58.49261744,-34.6341913,2
519,519,20190086,CORRIENTES AV. 6700,15,Point (100960.33601283 104532.07598431),-58.45283186,-34.5884156,2
520,520,20190087,ALVAREZ THOMAS AV. y MENDOZA,12,Point (98491.73236150 106110.45743791),-58.47973681,-34.57418656,2
521,521,20190088,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,Point (105230.98315750 97613.97258373),-58.40623949,-34.65076549,2
522,522,20190089,"BROWN, ALTE. AV. y BLANES, JUAN MANUEL",4,Point (109247.85081573 99794.76658137),-58.36244648,-34.63107887,2
523,523,20190090,"ALBERDI, JUAN BAUTISTA AV. 5455",9,Point (96669.91669285 97846.12432372),-58.49962423,-34.64868027,2
524,524,20190091,"JUSTO, JUAN B. AV. y CAMARGO",15,Point (101631.52816900 103735.20218464),-58.44551437,-34.59559816,2
525,525,20190092,"BRIN, MINISTRO y SUAREZ",4,Point (109831.09861352 99447.57530396),-58.35608181,-34.63420319,2
526,526,20190093,"NIZA y JUSTO, JUAN B. AV.",11,Point (99859.01807773 102240.12407554),-58.46483679,-34.60907662,2
527,527,20190094,CAMARGO y SERRANO,15,Point (101799.19412891 103552.67600212),-58.44368628,-34.59724326,2
528,528,20190095,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.,1,Point (107762.62066755 100018.90176184),-58.37864583,-34.62907067,2
529,529,20190096,CASEROS AV. y PIEDRAS,1,Point (108041.76772318 100219.10582069),-58.37560352,-34.62726382,2
530,530,20190097,AUTOPISTA PERITO MORENO KM. 5.6,9,Point (98724.36593359 97905.39654686),-58.47721439,-34.64815069,2
531,531,20190098,GUZMAN 365,15,Point (101097.15913487 104373.72916577),-58.45134029,-34.58984288,2
532,532,20190100,DE LOS CONSTITUYENTES AV. 4300,12,Point (97512.85370485 105056.21473822),-58.49040794,-34.58368803,2
533,533,20190101,"MORENO, PERITO AV. y TILCARA AV.",4,Point (103875.40694167 97709.33732832),-58.42102679,-34.64991178,2
534,534,20190102,"IBARROLA y GORDILLO, TIMOTEO",9,Point (94600.31582329 98648.40911008),-58.52219407,-34.64143926,2
535,535,20190103,"PAZ, GRAL. AV. y GRIVEO",11,Point (94643.11254058 103831.57115061),-58.52169422,-34.5947164,2
536,536,20190104,RIVADAVIA AV. y PERGAMINO,10,Point (98963.45381519 99690.23941640),-58.47460416,-34.63206174,2
537,537,20190105,SANTO TOME y SEGUROLA AV.,10,Point (96164.17004077 101559.58637156),-58.50512382,-34.61520391,1
538,538,20200001,URIARTE y LOYOLA,15,Point (102219.66522967 104119.42339682),-58.43910409,-34.59213355,1
539,539,20200002,SARAZA y VARELA AV.,7,Point (101201.50959665 98092.52358781),-58.45019436,-34.64646409,1
540,540,20200003,RIVADAVIA AV. y COMBATE DE LOS POZOS,3,Point (106413.35913221 102215.84332055),-58.39337644,-34.60927582,1
541,541,20200004,RODRIGUEZ PEÃ‘A y RIVADAVIA AV.,1,Point (106672.04348602 102224.86809233),-58.39055614,-34.60919284,1
542,542,20200005,24 DE NOVIEMBRE y SAN JUAN AV.,3,Point (104853.84131654 100497.93573387),-58.41036975,-34.62477021,1
543,543,20200006,LAFUENTE AV. 2250,8,Point (101287.27262066 97242.60480808),-58.44925765,-34.65412546,1
544,544,20200007,CHILE y LIMA,1,Point (107495.74012081 101415.07897373),-58.3815685,-34.61648696,1
545,545,20200008,"CORDOBA AV. y JAURES, JEAN",2,Point (105198.52795163 103462.44828321),-58.40662899,-34.59804521,1
546,546,20200009,"PERON, JUAN DOMINGO, TTE. GENERAL y SALGUERO, JERONIMO",5,Point (103984.76403716 102579.64869142),-58.41985649,-34.6060085,1
547,547,20200010,9 DE JULIO AV. y SAN JUAN AV.,1,Point (107547.52290950 100786.86705692),-58.38099833,-34.62214953,1
548,548,20200011,COLOMBRES 466,5,Point (104151.41161599 101223.60584703),-58.41803309,-34.61823178,1
549,549,20200012,MEXICO 2860,3,Point (105251.32172099 101267.01010190),-58.40604003,-34.61783553,1
550,550,20200013,COMBATIENTES DE MALVINAS AV. y TRIUNVIRATO AV.,15,Point (98880.64164625 105472.20084776),-58.47549929,-34.57994061,1
551,551,20200014,BERMUDEZ y NOGOYA,11,Point (95351.54075716 101470.48982187),-58.51398484,-34.61600366,1
552,552,20200015,BRASIL AV. y PASEO COLON AV.,1,Point (108741.48238670 100448.08502809),-58.36797542,-34.62519403,1
553,553,20200016,"ALEM, LEANDRO N. AV. 770",1,Point (108435.94625268 103377.11105009),-58.37133616,-34.59879316,1
